code;collectionpointcode;label;value;value_order
LISTE_HOPITAUX_411;PCS_411;MATERNITE MUNICIPAL N°2;MATERNITE MUNICIPAL N°2;521
LISTE_HOPITAUX_646;PCS_646;Maternité  néma de Ziguinchor;Maternité  néma de Ziguinchor;522
LISTE_HOPITAUX_714;PCS_714;Maternité paramédical de boucotte sud;Maternité paramédical de boucotte sud;523
LISTE_HOPITAUX_29;PCS_29;oste de santé de Ross  Bethio;oste de santé de Ross  Bethio;524
LISTE_HOPITAUX_647;PCS_647;Paramedical Antoine de padou de Ziguinchor;Paramedical Antoine de padou de Ziguinchor;525
LISTE_HOPITAUX_531;PCS_531;Poste de santé 04-mai;Poste de santé 04-mai;526
LISTE_HOPITAUX_549;PCS_549;Poste de santé Arafat;Poste de santé Arafat;528
LISTE_HOPITAUX_190;PCS_190;Poste de santé Baba Alima;Poste de santé Baba Alima;530
LISTE_HOPITAUX_499;PCS_499;Poste de santé Badioure;Poste de santé Badioure;531
LISTE_HOPITAUX_493;PCS_493;Poste de santé Bambilor;Poste de santé Bambilor;532
LISTE_HOPITAUX_141;PCS_141;Poste de santé BAMBILOR;Poste de santé BAMBILOR;533
LISTE_HOPITAUX_184;PCS_184;Poste de santé BAMBILOR;Poste de santé BAMBILOR;534
LISTE_HOPITAUX_521;PCS_521;Poste de santé Bokidiawe 1;Poste de santé Bokidiawe 1;535
LISTE_HOPITAUX_522;PCS_522;Poste de santé Bokidiawe 2;Poste de santé Bokidiawe 2;536
LISTE_HOPITAUX_711;PCS_711;Poste de Santé Bon samaritain de Ziguinchor;Poste de Santé Bon samaritain de Ziguinchor;537
LISTE_HOPITAUX_127;PCS_127;Poste de santé Bourguiba;Poste de santé Bourguiba;538
LISTE_HOPITAUX_618;PCS_618;Poste de santé Croix rouge;Poste de santé Croix rouge;539
LISTE_HOPITAUX_444;PCS_444;Poste de santé  d'Agman lidoubé;Poste de santé  d'Agman lidoubé;540
LISTE_HOPITAUX_440;PCS_440;Poste de santé d'Agnam civol;Poste de santé d'Agnam civol;541
LISTE_HOPITAUX_442;PCS_442;Poste de santé  d'Agnam goly;Poste de santé  d'Agnam goly;542
LISTE_HOPITAUX_441;PCS_441;Poste de santé d'Agnam thiodaye;Poste de santé d'Agnam thiodaye;543
LISTE_HOPITAUX_518;PCS_518;Poste de santé d?AMA;Poste de santé d?AMA;544
LISTE_HOPITAUX_166;PCS_166;Poste de santé DAROU KHANE;Poste de santé DAROU KHANE;545
