value_order;code;label;value
500;PROFESSION_1_213;cadre subalterne des affaires économiques;cadre subalterne des affaires économiques
500;PROFESSION_1_214;animateur(rice) télé;animateur(rice) télé
500;PROFESSION_1_215;cadre subalterne des transmissions météo;cadre subalterne des transmissions météo
500;PROFESSION_1_216;cadre financier(e);cadre financier(e)
500;PROFESSION_1_217;cadre supérieur(e) des affaires étrangères;cadre supérieur(e) des affaires étrangères
500;PROFESSION_1_218;cadre supérieur(e) de partie politique;cadre supérieur(e) de partie politique
500;PROFESSION_1_219;cadre supérieur(e) de banque;cadre supérieur(e) de banque
500;PROFESSION_1_220;cadre supérieur(e) des affaires économiques;cadre supérieur(e) des affaires économiques
500;PROFESSION_1_221;cadre d'assurance;cadre d'assurance
500;PROFESSION_1_222;cadre supérieur(e) d'organisation d'employeurs;cadre supérieur(e) d'organisation d'employeurs
500;PROFESSION_1_223;cadre supérieur(e);cadre supérieur(e)
500;PROFESSION_1_224;cadre commercial(e);cadre commercial(e)
500;PROFESSION_1_225;cadres supérieurs(es) des services hôteliers;cadres supérieurs(es) des services hôteliers
500;PROFESSION_1_226;auxiliaire caissier(e);auxiliaire caissier(e)
500;PROFESSION_1_227;cameraman;cameraman
500;PROFESSION_1_228;capitaine;capitaine
500;PROFESSION_1_229;capitaine de corvette;capitaine de corvette
500;PROFESSION_1_230;capitaine de frégate;capitaine de frégate
500;PROFESSION_1_231;capitaine de vaisseau;capitaine de vaisseau
500;PROFESSION_1_232;caporal(e);caporal(e)
500;PROFESSION_1_233;caporal(e) -chef;caporal(e) -chef
500;PROFESSION_1_234;carreleur(se);carreleur(se)
500;PROFESSION_1_235;cartographe;cartographe
500;PROFESSION_1_236;censeur;censeur
500;PROFESSION_1_238;charbonnier(e);charbonnier(e)
500;PROFESSION_1_239;charcutier(e);charcutier(e)
500;PROFESSION_1_240;chargé(e) d'affaires;chargé(e) d'affaires
500;PROFESSION_1_241;chargé(e) de cours, université;chargé(e) de cours, université
500;PROFESSION_1_242;charlatan;charlatan
500;PROFESSION_1_243;charpentier(e);charpentier(e)
500;PROFESSION_1_245;charretier(e) d'usine;charretier(e) d'usine
500;PROFESSION_1_246;chasseur(se);chasseur(se)
500;PROFESSION_1_247;chasseur(euse) de subsistance;chasseur(euse) de subsistance
500;PROFESSION_1_248;chaudronnier(e);chaudronnier(e)
500;PROFESSION_1_249;chauffeur de machines à vapeur et de chaudières;chauffeur de machines à vapeur et de chaudières
500;PROFESSION_1_250;chauffeur de particuliers;chauffeur de particuliers
500;PROFESSION_1_251;chauffeur de taxi;chauffeur de taxi
500;PROFESSION_1_252;chauffeur d'entreprise;chauffeur d'entreprise
500;PROFESSION_1_254;chef(fe) comptable;chef(fe) comptable
500;PROFESSION_1_255;chef(fe) coutumier(e);chef(fe) coutumier(e)
500;PROFESSION_1_256;chef(fe) cuisinier(ve);chef(fe) cuisinier(ve)
500;PROFESSION_1_257;chef(fe) de chantier;chef(fe) de chantier
500;PROFESSION_1_258;chef(fe) de quart;chef(fe) de quart
500;PROFESSION_1_259;chef(fe) de train;chef(fe) de train
500;PROFESSION_1_260;chef(fe) du village;chef(fe) du village
500;PROFESSION_1_261;chef du gouvernement;chef du gouvernement
500;PROFESSION_1_262;cheminot;cheminot
500;PROFESSION_1_263;chercheur(euse);chercheur(euse)
500;PROFESSION_1_264;chirurgien(ne);chirurgien(ne)
500;PROFESSION_1_265;chorégraphe;chorégraphe
500;PROFESSION_1_266;chroniqueur(euse);chroniqueur(euse)
500;PROFESSION_1_267;cireur(euse);cireur(euse)
500;PROFESSION_1_268;classeur(euse) de produits non alimentaires;classeur(euse) de produits non alimentaires
500;PROFESSION_1_269;classeur-archiviste;classeur-archiviste
500;PROFESSION_1_270;climatologiste, climatologue;climatologiste, climatologue
500;PROFESSION_1_271;codeurs, correcteurs d'épreuves et assimilés;codeurs, correcteurs d'épreuves et assimilés
500;PROFESSION_1_272;coiffeur(euse);coiffeur(euse)
500;PROFESSION_1_273;collecteur d'impot;collecteur d'impot
500;PROFESSION_1_274;colonel;colonel
500;PROFESSION_1_275;colporteur(euse);colporteur(euse)
500;PROFESSION_1_276;commandant(e);commandant(e)
500;PROFESSION_1_277;commentateur(rice);commentateur(rice)
500;PROFESSION_1_279;commis au comptoir, restauration rapide;commis au comptoir, restauration rapide
500;PROFESSION_1_280;commis magasinier;commis magasinier
500;PROFESSION_1_281;commissaire de police;commissaire de police
500;PROFESSION_1_282;commissaire-priseur;commissaire-priseur
500;PROFESSION_1_283;compositeur(rice);compositeur(rice)
500;PROFESSION_1_284;compositeurs et préparateurs en forme imprimante et assimilés;compositeurs et préparateurs en forme imprimante et assimilés
500;PROFESSION_1_285;comptable;comptable
500;PROFESSION_1_286;webmaster;webmaster
500;PROFESSION_1_287;concepteur graphique, multimédia;concepteur graphique, multimédia
500;PROFESSION_1_288;concierge;concierge
500;PROFESSION_1_289;conducteur(rice);conducteur(rice)
500;PROFESSION_1_290;chef(fe) parc auto;chef(fe) parc auto
500;PROFESSION_1_291;conducteur(rice);conducteur(rice)
500;PROFESSION_1_295;conducteur(rice) de machine;conducteur(rice) de machine
500;PROFESSION_1_298;conducteur(rice) de machines;conducteur(rice) de machines
500;PROFESSION_1_311;conducteur(rice) de moto taxi;conducteur(rice) de moto taxi
500;PROFESSION_1_312;conducteur(rice) de train, locomotive;conducteur(rice) de train, locomotive
500;PROFESSION_1_313;conducteur(rice) de tramways;conducteur(rice) de tramways
500;PROFESSION_1_316;conducteur(rice) de vélo taxi;conducteur(rice) de vélo taxi
500;PROFESSION_1_317;conducteur(rice) d'engins;conducteur(rice) d'engins
500;PROFESSION_1_318;conducteur(rice) d'engins de chantier;conducteur(rice) d'engins de chantier
500;PROFESSION_1_319;conducteur(rice) d'engins de terrassement et de matériels similaires;conducteur(rice) d'engins de terrassement et de matériels similaires
500;PROFESSION_1_334;confiseur;confiseur
500;PROFESSION_1_335;conseiller(e) agricole;conseiller(e) agricole
500;PROFESSION_1_336;conseiller(e) commercial(e);conseiller(e) commercial(e)
500;PROFESSION_1_337;conseiller(e) cdv;conseiller(e) cdv
500;PROFESSION_1_338;conseiller(e) municipal(e);conseiller(e) municipal(e)
500;PROFESSION_1_339;conseiller(e) pédagogique;conseiller(e) pédagogique
500;PROFESSION_1_340;conseiller(e) financier(e);conseiller(e) financier(e)
500;PROFESSION_1_341;conservateur(rice);conservateur(rice)
500;PROFESSION_1_342;conserveurs de fruits, de légumes;conserveurs de fruits, de légumes
500;PROFESSION_1_343;consul général;consul général
500;PROFESSION_1_344;contre-amiral;contre-amiral
500;PROFESSION_1_345;contremaitre;contremaitre
500;PROFESSION_1_346;contrôleur - receveur des p et t;contrôleur - receveur des p et t
500;PROFESSION_1_347;contrôleur de la circulation aérienne;contrôleur de la circulation aérienne
500;PROFESSION_1_348;contrôleur de qualité;contrôleur de qualité
500;PROFESSION_1_349;contrôleur de transport public (train, bus, etc);contrôleur de transport public (train, bus, etc)
500;PROFESSION_1_350;contrôleur de travail;contrôleur de travail
500;PROFESSION_1_351;contrôleur des impôts;contrôleur des impôts
500;PROFESSION_1_352;contrôleur des prix;contrôleur des prix
500;PROFESSION_1_353;contrôleur des processus industriels, métallurgie;contrôleur des processus industriels, métallurgie
500;PROFESSION_1_354;contrôleur du trésor;contrôleur du trésor
